,ClientMacAddr,frequency,Name,Job_Title,security_level,classification,Level,lat,lng,localtime
0,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:04:38.551
1,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:04:28.427
2,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:04:18.089
3,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:04:08.053
4,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:03:57.929
5,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:03:47.894
6,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46077483,-0.93232188,2019-09-11 11:03:38.766
7,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:03:22.721
8,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46077483,-0.93232188,2019-09-11 11:03:18.609
9,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:03:07.371
10,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:02:52.231
11,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46067288960607,-0.9323964322975604,2019-09-11 11:02:47.212
12,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46077483,-0.93232188,2019-09-11 11:02:38.478
13,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46063957,-0.9324208,2020-01-09 09:55:52.939
14,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46061036942642,-0.932346171652006,2020-01-09 09:55:47.931
15,f4:f5:24:45:f9:74,106,Jordan Roman,SEO Specialist,3.0,employee,0,51.46061036942642,-0.932346171652006,2020-01-09 09:55:37.810
